"tconst","primaryTitle","genres","startYear","runtimeMinutes","averageRating","numVotes"
tt0088247,The Terminator,"Action,Adventure,Sci-Fi",1984,107,8.1,937147
tt0075314,Taxi Driver,"Crime,Drama",1976,114,8.2,936962
tt2395427,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",2015,141,7.3,934551
tt0086250,Scarface,"Crime,Drama",1983,170,8.3,930556
tt0253474,The Pianist,"Biography,Drama,Music",2002,150,8.5,928288
tt0208092,Snatch,"Comedy,Crime",2000,102,8.2,920916
tt0180093,Requiem for a Dream,Drama,2000,102,8.3,910816
tt0800369,Thor,"Action,Fantasy",2011,115,7.0,910636
tt1843866,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",2014,136,7.7,909762
tt1300854,Iron Man 3,"Action,Adventure,Sci-Fi",2013,130,7.1,909698
tt0458339,Captain America: The First Avenger,"Action,Adventure,Sci-Fi",2011,124,6.9,907717
tt0435761,Toy Story 3,"Adventure,Animation,Comedy",2010,103,8.3,903640
tt10872600,Spider-Man: No Way Home,"Action,Adventure,Fantasy",2021,148,8.2,901931
tt1160419,Dune,"Action,Adventure,Drama",2021,155,8.0,898856
tt2278388,The Grand Budapest Hotel,"Adventure,Comedy,Crime",2014,99,8.1,898323
tt0145487,Spider-Man,"Action,Adventure,Sci-Fi",2002,121,7.4,893449
tt0066921,A Clockwork Orange,"Crime,Sci-Fi",1971,136,8.2,890307
tt1663202,The Revenant,"Action,Adventure,Drama",2015,156,8.0,886236
tt0050083,"12 Angry Men","Crime,Drama",1957,96,9.0,880908
tt1228705,Iron Man 2,"Action,Sci-Fi",2010,124,6.9,879519
tt0416449,"300","Action,Drama",2006,117,7.6,872705
tt0120915,Star Wars: Episode I - The Phantom Menace,"Action,Adventure,Fantasy",1999,136,6.5,869832
tt0118715,The Big Lebowski,"Comedy,Crime",1998,117,8.1,869312
tt1454468,Gravity,"Drama,Sci-Fi,Thriller",2013,91,7.7,869083
tt0241527,Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy",2001,152,7.6,868339
tt0245429,Spirited Away,"Adventure,Animation,Family",2001,125,8.6,867337
tt3498820,Captain America: Civil War,"Action,Sci-Fi",2016,147,7.8,862815
tt0246578,Donnie Darko,"Drama,Mystery,Sci-Fi",2001,113,8.0,859907
tt1119646,The Hangover,Comedy,2009,100,7.7,858737
tt0121766,Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Fantasy",2005,140,7.6,857068
tt3315342,Logan,"Action,Drama,Sci-Fi",2017,137,8.1,856375
tt1825683,Black Panther,"Action,Adventure,Sci-Fi",2018,134,7.3,848787
tt0382932,Ratatouille,"Adventure,Animation,Comedy",2007,111,8.1,844107
tt0947798,Black Swan,"Drama,Thriller",2010,108,8.0,835646
tt2084970,The Imitation Game,"Biography,Drama,Thriller",2014,114,8.0,833705
tt0083658,Blade Runner,"Action,Drama,Sci-Fi",1982,117,8.1,832235
tt3501632,Thor: Ragnarok,"Action,Adventure,Comedy",2017,130,7.9,828596
tt1392214,Prisoners,"Crime,Drama,Mystery",2013,153,8.2,827485
tt0480249,I Am Legend,"Action,Drama,Horror",2007,101,7.2,826439
tt2096673,Inside Out,"Adventure,Animation,Comedy",2015,95,8.1,823431
tt0317705,The Incredibles,"Action,Adventure,Animation",2004,115,8.0,823389
tt1205489,Gran Torino,Drama,2008,116,8.1,822158
tt0060196,"The Good, the Bad and the Ugly","Adventure,Drama,Western",1966,178,8.8,821891
tt0097576,Indiana Jones and the Last Crusade,"Action,Adventure",1989,127,8.2,819193
tt0770828,Man of Steel,"Action,Adventure,Sci-Fi",2013,143,7.1,818541
tt1211837,Doctor Strange,"Action,Adventure,Fantasy",2016,115,7.5,817803
tt0378194,Kill Bill: Vol. 2,"Action,Crime,Thriller",2004,137,8.0,816443
tt0317248,City of God,"Crime,Drama",2002,130,8.6,810955
tt1877830,The Batman,"Action,Crime,Drama",2022,176,7.8,808709
tt0211915,Amélie,"Comedy,Romance",2001,122,8.3,801406
tt0093058,Full Metal Jacket,"Drama,War",1987,116,8.2,799750
tt0401792,Sin City,"Crime,Thriller",2005,124,8.0,797785
tt15398776,Oppenheimer,"Biography,Drama,History",2023,180,8.3,788548
tt8946378,Knives Out,"Comedy,Crime,Drama",2019,130,7.9,786844
tt2543164,Arrival,"Drama,Mystery,Sci-Fi",2016,116,7.9,785780
tt0090605,Aliens,"Action,Adventure,Sci-Fi",1986,137,8.4,779253
tt0383574,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",2006,151,7.4,777025
tt3896198,Guardians of the Galaxy Vol. 2,"Action,Adventure,Comedy",2017,136,7.6,770668
tt0121765,Star Wars: Episode II - Attack of the Clones,"Action,Adventure,Fantasy",2002,142,6.6,769507
tt1285016,The Social Network,"Biography,Drama",2010,120,7.8,768446
tt2975590,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",2016,151,6.5,758074
tt1877832,X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",2014,132,7.9,755860
tt0118799,Life Is Beautiful,"Comedy,Drama,Romance",1997,116,8.6,752344
tt2911666,John Wick,"Action,Crime,Thriller",2014,101,7.4,751293
tt1631867,Edge of Tomorrow,"Action,Adventure,Sci-Fi",2014,113,7.9,748262
tt2024544,"12 Years a Slave","Biography,Drama,History",2013,134,8.1,748108
tt1045658,Silver Linings Playbook,"Comedy,Drama,Romance",2012,122,7.7,748049
tt0126029,Shrek,"Adventure,Animation,Comedy",2001,90,7.9,746546
tt1074638,Skyfall,"Action,Adventure,Thriller",2012,143,7.8,736922
tt0144084,American Psycho,"Crime,Drama,Horror",2000,102,7.6,735901
tt0116282,Fargo,"Crime,Thriller",1996,98,8.1,734634
tt1270798,X-Men: First Class,"Action,Sci-Fi",2011,131,7.7,733705
tt1981115,Thor: The Dark World,"Action,Adventure,Fantasy",2013,112,6.7,733444
tt0117951,Trainspotting,Drama,1996,93,8.1,733010
tt0816711,World War Z,"Action,Adventure,Horror",2013,116,7.0,731799
tt2250912,Spider-Man: Homecoming,"Action,Adventure,Sci-Fi",2017,133,7.4,731442
tt0478970,Ant-Man,"Action,Comedy,Sci-Fi",2015,117,7.2,731334
tt1951264,The Hunger Games: Catching Fire,"Action,Adventure,Sci-Fi",2013,146,7.5,729885
tt0113277,Heat,"Action,Crime,Drama",1995,170,8.3,729605
tt0062622,"2001: A Space Odyssey","Adventure,Sci-Fi",1968,149,8.3,729024
tt0405159,Million Dollar Baby,"Drama,Sport",2004,132,8.1,728610
tt1386697,Suicide Squad,"Action,Adventure,Fantasy",2016,123,5.9,728319
tt0054215,Psycho,"Horror,Mystery,Thriller",1960,109,8.5,727983
tt1745960,Top Gun: Maverick,"Action,Drama",2022,130,8.2,726303
tt1136608,District 9,"Action,Sci-Fi,Thriller",2009,112,7.9,722917
tt0316654,Spider-Man 2,"Action,Adventure,Sci-Fi",2004,127,7.5,721240
tt5052448,Get Out,"Horror,Mystery,Thriller",2017,104,7.8,720609
tt0078788,Apocalypse Now,"Drama,Mystery,War",1979,147,8.4,718764
tt1670345,Now You See Me,"Crime,Mystery,Thriller",2013,115,7.2,717062
tt0780504,Drive,"Action,Drama",2011,100,7.8,714705
tt1170358,The Hobbit: The Desolation of Smaug,"Adventure,Drama,Fantasy",2013,161,7.8,713559
tt1504320,The King's Speech,"Biography,Drama,History",2010,118,8.0,712217
tt0948470,The Amazing Spider-Man,"Action,Adventure,Sci-Fi",2012,136,6.9,712115
tt0457430,Pan's Labyrinth,"Drama,Fantasy,War",2006,118,8.2,708976
tt0451279,Wonder Woman,"Action,Adventure,Fantasy",2017,141,7.3,705871
tt0421715,The Curious Case of Benjamin Button,"Drama,Fantasy,Romance",2008,166,7.8,703029
tt0295297,Harry Potter and the Chamber of Secrets,"Adventure,Family,Fantasy",2002,161,7.4,702207
tt0304141,Harry Potter and the Prisoner of Azkaban,"Adventure,Family,Fantasy",2004,142,7.9,702181
tt0449088,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",2007,169,7.1,701865
tt0381061,Casino Royale,"Action,Adventure,Thriller",2006,144,8.0,701213
tt3748528,Rogue One: A Star Wars Story,"Action,Adventure,Sci-Fi",2016,133,7.8,696491
tt0107048,Groundhog Day,"Comedy,Drama,Fantasy",1993,101,8.0,693625
tt8579674,"1917","Action,Drama,History",2019,119,8.2,692592
tt0330373,Harry Potter and the Goblet of Fire,"Adventure,Family,Fantasy",2005,157,7.7,691259
tt4633694,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation",2018,117,8.4,688942
tt3783958,La La Land,"Comedy,Drama,Music",2016,128,8.0,687032
tt0369610,Jurassic World,"Action,Adventure,Sci-Fi",2015,124,6.9,687031
tt0418279,Transformers,"Action,Adventure,Sci-Fi",2007,144,7.0,681594
tt1856101,Blade Runner 2049,"Action,Drama,Mystery",2017,164,8.0,680837
tt1798709,Her,"Drama,Romance,Sci-Fi",2013,126,8.0,680459
tt2527336,Star Wars: Episode VIII - The Last Jedi,"Action,Adventure,Fantasy",2017,152,6.9,680154
tt5463162,Deadpool 2,"Action,Adventure,Comedy",2018,119,7.6,677924
tt0988045,Sherlock Holmes,"Action,Adventure,Mystery",2009,128,7.6,677767
tt0454876,Life of Pi,"Adventure,Drama,Fantasy",2012,127,7.9,672497
tt0073195,Jaws,"Adventure,Drama,Thriller",1975,124,8.1,671855
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama",2014,119,7.7,671558
tt2294629,Frozen,"Adventure,Animation,Comedy",2013,102,7.4,671222
tt3460252,The Hateful Eight,"Crime,Drama,Mystery",2015,168,7.8,669021
tt1637725,Ted,Comedy,2012,106,6.9,665073
tt0758758,Into the Wild,"Adventure,Biography,Drama",2007,148,8.1,664111
tt0440963,The Bourne Ultimatum,"Action,Mystery,Thriller",2007,115,8.0,662832
tt0099785,Home Alone,"Comedy,Family",1990,103,7.7,660819
tt0120903,X-Men,"Action,Adventure,Sci-Fi",2000,104,7.3,659314
tt1446714,Prometheus,"Adventure,Mystery,Sci-Fi",2012,124,7.0,657259
tt0114746,"12 Monkeys","Mystery,Sci-Fi,Thriller",1995,129,8.0,652075
tt0469494,There Will Be Blood,Drama,2007,158,8.2,649361
tt0413300,Spider-Man 3,"Action,Adventure,Sci-Fi",2007,139,6.3,647796
tt0364569,Oldboy,"Action,Drama,Mystery",2003,120,8.3,647672
tt0162222,Cast Away,"Adventure,Drama,Romance",2000,143,7.8,647265
tt1024648,Argo,"Biography,Drama,History",2012,120,7.7,643378
tt0373889,Harry Potter and the Order of the Phoenix,"Action,Adventure,Family",2007,138,7.5,642384
tt0829482,Superbad,Comedy,2007,113,7.6,642215
tt0936501,Taken,"Action,Crime,Thriller",2008,90,7.7,641346
tt0075148,Rocky,"Drama,Sport",1976,120,8.1,637493
tt0234215,The Matrix Reloaded,"Action,Sci-Fi",2003,138,7.2,637481
tt0332280,The Notebook,"Drama,Romance",2004,123,7.8,631368
tt1156398,Zombieland,"Action,Comedy,Horror",2009,88,7.5,629921
tt0120363,Toy Story 2,"Adventure,Animation,Comedy",1999,92,7.9,627763
tt0240772,Ocean's Eleven,"Crime,Thriller",2001,116,7.7,627436
tt3890160,Baby Driver,"Action,Crime,Drama",2017,113,7.5,624380
tt0119488,L.A. Confidential,"Crime,Drama,Mystery",1997,138,8.2,624243
tt0796366,Star Trek,"Action,Adventure,Sci-Fi",2009,127,7.9,623216
tt0120735,"Lock, Stock and Two Smoking Barrels","Action,Comedy,Crime",1998,107,8.1,622006
tt0119654,Men in Black,"Action,Adventure,Comedy",1997,98,7.3,621745
tt4154664,Captain Marvel,"Action,Adventure,Sci-Fi",2019,123,6.8,619145
tt1219289,Limitless,"Sci-Fi,Thriller",2011,105,7.4,617983
tt1396484,It,Horror,2017,135,7.3,617978
tt2872718,Nightcrawler,"Crime,Drama,Thriller",2014,117,7.8,614282
tt11286314,Don't Look Up,"Comedy,Drama,Sci-Fi",2021,138,7.2,614170
tt0116629,Independence Day,"Action,Adventure,Sci-Fi",1996,145,7.0,613977
tt0034583,Casablanca,"Drama,Romance,War",1942,102,8.5,612450
tt0443706,Zodiac,"Crime,Drama,Mystery",2007,157,7.7,609375
tt0926084,Harry Potter and the Deathly Hallows: Part 1,"Adventure,Family,Fantasy",2010,146,7.7,608166
tt1276104,Looper,"Action,Drama,Sci-Fi",2012,119,7.4,607982
tt2119532,Hacksaw Ridge,"Biography,Drama,History",2016,139,8.1,607809
tt1232829,"21 Jump Street","Action,Comedy,Crime",2012,109,7.2,606717
tt1343092,The Great Gatsby,"Drama,Romance",2013,143,7.2,604858
tt6723592,Tenet,"Action,Sci-Fi,Thriller",2020,150,7.3,604773
tt0417741,Harry Potter and the Half-Blood Prince,"Action,Adventure,Family",2009,153,7.6,604432
tt1727824,Bohemian Rhapsody,"Biography,Drama,Music",2018,134,7.9,602711
tt0365748,Shaun of the Dead,"Comedy,Horror",2004,99,7.9,601617
tt0470752,Ex Machina,"Drama,Sci-Fi,Thriller",2014,108,7.7,600344
tt1250777,Kick-Ass,"Action,Comedy,Crime",2010,117,7.6,599074
tt1323594,Despicable Me,"Adventure,Animation,Comedy",2010,95,7.6,594056
tt0450259,Blood Diamond,"Adventure,Drama,Thriller",2006,143,8.0,592595
tt0181689,Minority Report,"Action,Crime,Mystery",2002,145,7.6,590043
tt6966692,Green Book,"Biography,Comedy,Drama",2018,130,8.2,589935
tt0409459,Watchmen,"Action,Drama,Mystery",2009,162,7.6,587862
tt0290334,X2: X-Men United,"Action,Sci-Fi,Thriller",2003,134,7.4,585617
tt0343818,"I, Robot","Action,Mystery,Sci-Fi",2004,115,7.1,582095
tt1318514,Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",2011,105,7.6,581737
tt0096874,Back to the Future Part II,"Adventure,Comedy,Sci-Fi",1989,108,7.8,581050
tt2310332,The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",2014,144,7.4,579814
tt0332452,Troy,"Adventure,Drama",2004,163,7.3,577514
tt0071853,Monty Python and the Holy Grail,"Adventure,Comedy,Fantasy",1975,91,8.2,575481
tt10811166,The Kashmir Files,Drama,2022,170,8.6,574977
tt0112641,Casino,"Crime,Drama",1995,178,8.2,572108
tt1298650,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",2011,136,6.6,571002
tt0454921,The Pursuit of Happyness,"Biography,Drama",2006,117,8.0,570229
tt6320628,Spider-Man: Far from Home,"Action,Adventure,Comedy",2019,129,7.4,569875
tt4972582,Split,"Horror,Thriller",2016,117,7.3,566419
tt1457767,The Conjuring,"Horror,Mystery,Thriller",2013,112,7.5,564317
tt1517268,Barbie,"Adventure,Comedy,Fantasy",2023,114,6.8,563257
tt5027774,"Three Billboards Outside Ebbing, Missouri","Comedy,Crime,Drama",2017,115,8.1,562846
tt1483013,Oblivion,"Action,Adventure,Sci-Fi",2013,124,7.0,558195
tt0097165,Dead Poets Society,"Comedy,Drama",1989,128,8.1,557917
tt2713180,Fury,"Action,Drama,War",2014,134,7.6,556961
tt0945513,Source Code,"Action,Drama,Mystery",2011,93,7.5,556360
tt1659337,The Perks of Being a Wallflower,Drama,2012,103,7.9,554906
tt0467406,Juno,"Comedy,Drama",2007,96,7.4,553500
tt0095953,Rain Man,Drama,1988,133,8.0,552288
tt0356910,Mr. & Mrs. Smith,"Action,Comedy,Crime",2005,120,6.5,549656
tt0376994,X-Men: The Last Stand,"Action,Adventure,Sci-Fi",2006,104,6.6,549332
tt0242653,The Matrix Revolutions,"Action,Sci-Fi",2003,129,6.7,549006
