"tconst","primaryTitle","startYear","runtimeMinutes","averageRating","numVotes"
tt1392214,Prisoners,2013,153,8.2,827485
tt0480249,I Am Legend,2007,101,7.2,826439
tt2096673,Inside Out,2015,95,8.1,823431
tt0317705,The Incredibles,2004,115,8.0,823389
tt1205489,Gran Torino,2008,116,8.1,822158
tt0060196,"The Good, the Bad and the Ugly",1966,178,8.8,821891
tt0097576,Indiana Jones and the Last Crusade,1989,127,8.2,819193
tt0770828,Man of Steel,2013,143,7.1,818541
tt1211837,Doctor Strange,2016,115,7.5,817803
tt0378194,Kill Bill: Vol. 2,2004,137,8.0,816443
tt0317248,City of God,2002,130,8.6,810955
tt1877830,The Batman,2022,176,7.8,808709
tt0211915,Amélie,2001,122,8.3,801406
tt0093058,Full Metal Jacket,1987,116,8.2,799750
tt0401792,Sin City,2005,124,8.0,797785
tt15398776,Oppenheimer,2023,180,8.3,788548
tt8946378,Knives Out,2019,130,7.9,786844
tt2543164,Arrival,2016,116,7.9,785780
tt0090605,Aliens,1986,137,8.4,779253
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,151,7.4,777025
tt3896198,Guardians of the Galaxy Vol. 2,2017,136,7.6,770668
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,142,6.6,769507
tt1285016,The Social Network,2010,120,7.8,768446
tt2975590,Batman v Superman: Dawn of Justice,2016,151,6.5,758074
tt1877832,X-Men: Days of Future Past,2014,132,7.9,755860
tt0118799,Life Is Beautiful,1997,116,8.6,752344
tt2911666,John Wick,2014,101,7.4,751293
tt1631867,Edge of Tomorrow,2014,113,7.9,748262
tt2024544,"12 Years a Slave",2013,134,8.1,748108
tt1045658,Silver Linings Playbook,2012,122,7.7,748049
tt0126029,Shrek,2001,90,7.9,746546
tt1074638,Skyfall,2012,143,7.8,736922
tt0144084,American Psycho,2000,102,7.6,735901
tt0116282,Fargo,1996,98,8.1,734634
tt1270798,X-Men: First Class,2011,131,7.7,733705
tt1981115,Thor: The Dark World,2013,112,6.7,733444
tt0117951,Trainspotting,1996,93,8.1,733010
tt0816711,World War Z,2013,116,7.0,731799
tt2250912,Spider-Man: Homecoming,2017,133,7.4,731442
tt0478970,Ant-Man,2015,117,7.2,731334
tt1951264,The Hunger Games: Catching Fire,2013,146,7.5,729885
tt0113277,Heat,1995,170,8.3,729605
tt0062622,"2001: A Space Odyssey",1968,149,8.3,729024
tt0405159,Million Dollar Baby,2004,132,8.1,728610
tt1386697,Suicide Squad,2016,123,5.9,728319
tt0054215,Psycho,1960,109,8.5,727983
tt1745960,Top Gun: Maverick,2022,130,8.2,726303
tt1136608,District 9,2009,112,7.9,722917
tt0316654,Spider-Man 2,2004,127,7.5,721240
tt5052448,Get Out,2017,104,7.8,720609
tt0078788,Apocalypse Now,1979,147,8.4,718764
tt1670345,Now You See Me,2013,115,7.2,717062
tt0780504,Drive,2011,100,7.8,714705
tt1170358,The Hobbit: The Desolation of Smaug,2013,161,7.8,713559
tt1504320,The King's Speech,2010,118,8.0,712217
tt0948470,The Amazing Spider-Man,2012,136,6.9,712115
tt0457430,Pan's Labyrinth,2006,118,8.2,708976
tt0451279,Wonder Woman,2017,141,7.3,705871
tt0421715,The Curious Case of Benjamin Button,2008,166,7.8,703029
tt0295297,Harry Potter and the Chamber of Secrets,2002,161,7.4,702207
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,702181
tt0449088,Pirates of the Caribbean: At World's End,2007,169,7.1,701865
tt0381061,Casino Royale,2006,144,8.0,701213
tt3748528,Rogue One: A Star Wars Story,2016,133,7.8,696491
tt0107048,Groundhog Day,1993,101,8.0,693625
tt8579674,"1917",2019,119,8.2,692592
tt0330373,Harry Potter and the Goblet of Fire,2005,157,7.7,691259
tt4633694,Spider-Man: Into the Spider-Verse,2018,117,8.4,688942
tt3783958,La La Land,2016,128,8.0,687032
tt0369610,Jurassic World,2015,124,6.9,687031
tt0418279,Transformers,2007,144,7.0,681594
tt1856101,Blade Runner 2049,2017,164,8.0,680837
tt1798709,Her,2013,126,8.0,680459
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,152,6.9,680154
tt5463162,Deadpool 2,2018,119,7.6,677924
tt0988045,Sherlock Holmes,2009,128,7.6,677767
tt0454876,Life of Pi,2012,127,7.9,672497
tt0073195,Jaws,1975,124,8.1,671855
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,671558
tt2294629,Frozen,2013,102,7.4,671222
tt3460252,The Hateful Eight,2015,168,7.8,669021
tt1637725,Ted,2012,106,6.9,665073
tt0758758,Into the Wild,2007,148,8.1,664111
tt0440963,The Bourne Ultimatum,2007,115,8.0,662832
tt0099785,Home Alone,1990,103,7.7,660819
tt0120903,X-Men,2000,104,7.3,659314
tt1446714,Prometheus,2012,124,7.0,657259
tt0114746,"12 Monkeys",1995,129,8.0,652075
tt0469494,There Will Be Blood,2007,158,8.2,649361
tt0413300,Spider-Man 3,2007,139,6.3,647796
tt0364569,Oldboy,2003,120,8.3,647672
tt0162222,Cast Away,2000,143,7.8,647265
tt1024648,Argo,2012,120,7.7,643378
tt0373889,Harry Potter and the Order of the Phoenix,2007,138,7.5,642384
tt0829482,Superbad,2007,113,7.6,642215
tt0936501,Taken,2008,90,7.7,641346
tt0075148,Rocky,1976,120,8.1,637493
tt0234215,The Matrix Reloaded,2003,138,7.2,637481
tt0332280,The Notebook,2004,123,7.8,631368
tt1156398,Zombieland,2009,88,7.5,629921
tt0120363,Toy Story 2,1999,92,7.9,627763
tt0240772,Ocean's Eleven,2001,116,7.7,627436
tt3890160,Baby Driver,2017,113,7.5,624380
tt0119488,L.A. Confidential,1997,138,8.2,624243
tt0796366,Star Trek,2009,127,7.9,623216
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,107,8.1,622006
tt0119654,Men in Black,1997,98,7.3,621745
tt4154664,Captain Marvel,2019,123,6.8,619145
tt1219289,Limitless,2011,105,7.4,617983
tt1396484,It,2017,135,7.3,617978
tt2872718,Nightcrawler,2014,117,7.8,614282
tt11286314,Don't Look Up,2021,138,7.2,614170
tt0116629,Independence Day,1996,145,7.0,613977
tt0034583,Casablanca,1942,102,8.5,612450
tt0443706,Zodiac,2007,157,7.7,609375
tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,608166
tt1276104,Looper,2012,119,7.4,607982
tt2119532,Hacksaw Ridge,2016,139,8.1,607809
tt1232829,"21 Jump Street",2012,109,7.2,606717
tt1343092,The Great Gatsby,2013,143,7.2,604858
tt6723592,Tenet,2020,150,7.3,604773
tt0417741,Harry Potter and the Half-Blood Prince,2009,153,7.6,604432
tt1727824,Bohemian Rhapsody,2018,134,7.9,602711
tt0365748,Shaun of the Dead,2004,99,7.9,601617
tt0470752,Ex Machina,2014,108,7.7,600344
tt1250777,Kick-Ass,2010,117,7.6,599074
tt1323594,Despicable Me,2010,95,7.6,594056
tt0450259,Blood Diamond,2006,143,8.0,592595
tt0181689,Minority Report,2002,145,7.6,590043
tt6966692,Green Book,2018,130,8.2,589935
tt0409459,Watchmen,2009,162,7.6,587862
tt0290334,X2: X-Men United,2003,134,7.4,585617
tt0343818,"I, Robot",2004,115,7.1,582095
tt1318514,Rise of the Planet of the Apes,2011,105,7.6,581737
tt0096874,Back to the Future Part II,1989,108,7.8,581050
tt2310332,The Hobbit: The Battle of the Five Armies,2014,144,7.4,579814
tt0332452,Troy,2004,163,7.3,577514
tt0071853,Monty Python and the Holy Grail,1975,91,8.2,575481
tt10811166,The Kashmir Files,2022,170,8.6,574977
tt0112641,Casino,1995,178,8.2,572108
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,136,6.6,571002
tt0454921,The Pursuit of Happyness,2006,117,8.0,570229
tt6320628,Spider-Man: Far from Home,2019,129,7.4,569875
tt4972582,Split,2016,117,7.3,566419
tt1457767,The Conjuring,2013,112,7.5,564317
tt1517268,Barbie,2023,114,6.8,563257
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,562846
tt1483013,Oblivion,2013,124,7.0,558195
tt0097165,Dead Poets Society,1989,128,8.1,557917
tt2713180,Fury,2014,134,7.6,556961
tt0945513,Source Code,2011,93,7.5,556360
tt1659337,The Perks of Being a Wallflower,2012,103,7.9,554906
tt0467406,Juno,2007,96,7.4,553500
tt0095953,Rain Man,1988,133,8.0,552288
tt0356910,Mr. & Mrs. Smith,2005,120,6.5,549656
tt0376994,X-Men: The Last Stand,2006,104,6.6,549332
tt0242653,The Matrix Revolutions,2003,129,6.7,549006
tt6710474,Everything Everywhere All at Once,2022,139,7.8,548567
tt1270797,Venom,2018,112,6.6,547906
tt0458525,X-Men Origins: Wolverine,2009,107,6.5,542835
tt2872732,Lucy,2014,89,6.4,541363
tt1411697,The Hangover Part II,2011,102,6.5,541215
tt0425112,Hot Fuzz,2007,121,7.8,541017
tt0087469,Indiana Jones and the Temple of Doom,1984,118,7.5,540592
tt0367594,Charlie and the Chocolate Factory,2005,115,6.7,536041
tt1663662,Pacific Rim,2013,131,6.9,535917
tt0314331,Love Actually,2003,135,7.6,535514
tt0206634,Children of Men,2006,109,7.9,535344
tt1229238,Mission: Impossible - Ghost Protocol,2011,132,7.4,532881
tt0441773,Kung Fu Panda,2008,92,7.6,531425
tt0099487,Edward Scissorhands,1990,105,7.9,530510
tt0800080,The Incredible Hulk,2008,112,6.6,529824
tt0047396,Rear Window,1954,112,8.5,529113
tt0289879,The Butterfly Effect,2004,113,7.6,526766
tt0268380,Ice Age,2002,81,7.5,526708
tt0790636,Dallas Buyers Club,2013,117,7.9,524190
tt0449059,Little Miss Sunshine,2006,101,7.8,523868
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.3,523378
tt1979320,Rush,2013,123,8.1,520119
tt1790864,The Maze Runner,2014,113,6.8,519027
tt0448157,Hancock,2008,92,6.4,517212
tt0119116,The Fifth Element,1997,126,7.6,513387
tt0298148,Shrek 2,2004,93,7.3,512820
tt3183660,Fantastic Beasts and Where to Find Them,2016,132,7.2,512729
tt0092099,Top Gun,1986,109,6.9,511189
tt2245084,Big Hero 6,2014,102,7.8,510747
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,123,6.6,510040
tt1630029,Avatar: The Way of Water,2022,192,7.5,508007
tt1895587,Spotlight,2015,129,8.1,506787
tt15239678,Dune: Part Two,2024,166,8.5,505069
tt0038650,It's a Wonderful Life,1946,130,8.6,504534
tt1800241,American Hustle,2013,138,7.2,503618
tt0398286,Tangled,2010,100,7.7,503037
